idx,seq,group,emerg,weight,new_value,relocation,loc_x,loc_y,loc_z,size(ft)
1.0,0.0,0,0.0,16.06,16.06,1,5,0,2,20
2.0,0.0,0,0.0,21.61,21.61,1,5,0,1,20
3.0,0.0,0,0.0,17.43,17.43,0,4,0,0,20
4.0,0.0,0,0.0,17.07,17.07,0,6,0,0,20
5.0,0.0,0,0.0,13.72,13.72,0,6,0,1,20
6.0,0.0,0,0.0,21.1,21.1,2,4,0,3,20
7.0,0.0,0,0.0,11.14,11.14,1,1,0,2,20
8.0,0.0,0,0.0,12.69,12.69,1,1,0,0,20
9.0,0.0,0,0.0,21.13,21.13,0,5,0,0,20
10.0,0.0,0,0.0,15.31,15.31,0,6,0,2,20
11.0,0.0,0,0.0,20.51,20.51,0,4,0,1,20
12.0,0.0,0,0.0,23.68,23.68,0,6,0,3,20
13.0,0.0,0,0.0,7.6,7.6,1,1,0,1,20
14.0,0.0,0,0.0,16.8,16.8,1,2,0,4,20
15.0,0.0,0,0.0,8.16,8.16,2,2,0,0,20
16.0,1.0,0,0.0,21.9,21.9,0,4,0,2,20
17.0,2.0,0,0.0,21.2,21.2,0,4,0,4,20
18.0,3.0,0,0.0,21.83,21.83,0,5,0,3,20
19.0,4.0,0,0.0,6.23,6.23,0,2,0,1,20
20.0,5.0,0,0.0,10.3,10.3,0,2,0,2,20
21.0,6.0,0,0.0,10.37,10.37,0,1,0,3,20
22.0,7.0,0,0.0,15.87,15.87,0,2,0,3,20
23.0,8.0,0,0.0,10.14,10.14,0,3,0,0,20
24.0,9.0,0,0.0,8.63,8.63,0,3,0,1,20
25.0,10.0,0,0.0,7.96,7.96,0,3,0,2,20
