idx,seq,group,emerg,weight,new_value,relocation,loc_x,loc_y,loc_z,size(ft)
1.0,0.0,0,0.0,23.86,23.86,2,4,0,4,20
2.0,0.0,0,0.0,5.39,5.39,0,5,0,0,20
3.0,0.0,0,0.0,6.25,6.25,1,1,0,2,20
4.0,0.0,0,0.0,21.22,21.22,1,5,0,2,20
5.0,0.0,0,0.0,13.18,13.18,1,2,0,1,20
6.0,0.0,0,0.0,20.18,20.18,1,5,0,1,20
7.0,0.0,0,0.0,19.18,19.18,0,6,0,0,20
8.0,0.0,0,0.0,7.45,7.45,1,2,0,0,20
9.0,0.0,0,0.0,23.13,23.13,2,4,0,3,20
10.0,0.0,0,0.0,19.42,19.42,0,1,0,0,20
11.0,0.0,0,0.0,20.88,20.88,0,4,0,0,20
12.0,0.0,0,0.0,17.15,17.15,0,4,0,1,20
13.0,0.0,0,0.0,22.68,22.68,2,3,0,4,20
14.0,0.0,0,0.0,8.01,8.01,0,6,0,1,20
15.0,0.0,0,0.0,8.59,8.59,0,1,0,1,20
16.0,1.0,0,0.0,9.43,9.43,0,2,0,2,20
17.0,2.0,0,0.0,10.03,10.03,1,3,0,1,20
18.0,3.0,0,0.0,18.85,18.85,0,4,0,2,20
19.0,4.0,0,0.0,8.94,8.94,0,3,0,0,20
20.0,5.0,0,0.0,9.14,9.14,0,2,0,3,20
21.0,6.0,0,0.0,12.68,12.68,0,3,0,2,20
22.0,7.0,0,0.0,11.01,11.01,0,2,0,4,20
23.0,8.0,0,0.0,16.1,16.1,0,3,0,3,20
24.0,9.0,0,0.0,15.01,15.01,0,5,0,3,20
25.0,10.0,0,0.0,19.21,19.21,0,5,0,4,20
