idx,seq,group,emerg,weight,new_value,relocation,loc_x,loc_y,loc_z,size(ft)
1.0,0.0,0,0.0,14.39,14.39,1,5,0,3,20
2.0,0.0,0,0.0,21.66,21.66,1,5,0,2,20
3.0,0.0,0,0.0,6.31,6.31,0,1,0,0,20
4.0,0.0,0,0.0,23.34,23.34,0,4,0,0,20
5.0,0.0,0,0.0,10.61,10.61,1,1,0,3,20
6.0,0.0,0,0.0,8.53,8.53,0,6,0,0,20
7.0,0.0,0,0.0,16.84,16.84,0,4,0,1,20
8.0,0.0,0,0.0,12.31,12.31,0,6,0,1,20
9.0,0.0,0,0.0,15.89,15.89,0,4,0,2,20
10.0,0.0,0,0.0,16.65,16.65,0,1,0,1,20
11.0,0.0,0,0.0,7.75,7.75,0,1,0,2,20
12.0,0.0,0,0.0,20.32,20.32,1,3,0,4,20
13.0,0.0,0,0.0,10.24,10.24,2,3,0,1,20
14.0,0.0,0,0.0,22.42,22.42,0,5,0,0,20
15.0,0.0,0,0.0,12.17,12.17,0,5,0,1,20
16.0,1.0,0,0.0,6.19,6.19,1,3,0,0,20
17.0,2.0,0,0.0,12.91,12.91,1,3,0,2,20
18.0,3.0,0,0.0,12.4,12.4,1,1,0,4,20
19.0,4.0,0,0.0,16.95,16.95,1,3,0,3,20
20.0,5.0,0,0.0,19.0,19.0,1,6,0,2,20
21.0,6.0,0,0.0,5.99,5.99,1,2,0,0,20
22.0,7.0,0,0.0,18.54,18.54,1,6,0,3,20
23.0,8.0,0,0.0,6.9,6.9,1,2,0,1,20
24.0,9.0,0,0.0,23.19,23.19,1,6,0,4,20
25.0,10.0,0,0.0,6.61,6.61,1,2,0,2,20
