idx,seq,group,emerg,weight,new_value,relocation,loc_x,loc_y,loc_z,size(ft)
1.0,0.0,0,0.0,17.38,17.38,1,5,0,1,20
2.0,0.0,0,0.0,19.29,19.29,1,5,0,0,20
3.0,0.0,0,0.0,22.89,22.89,2,5,0,2,20
4.0,0.0,0,0.0,5.07,5.07,0,2,0,0,20
5.0,0.0,0,0.0,16.88,16.88,0,6,0,0,20
6.0,0.0,0,0.0,7.87,7.87,2,2,0,1,20
7.0,0.0,0,0.0,17.46,17.46,2,4,0,2,20
8.0,1.0,0,0.0,16.91,16.91,2,2,0,4,20
9.0,2.0,0,0.0,11.84,11.84,2,2,0,3,20
10.0,3.0,0,0.0,10.51,10.51,1,4,0,0,20
11.0,4.0,0,0.0,6.47,6.47,1,1,0,0,20
12.0,5.0,0,0.0,8.85,8.85,2,1,0,2,20
13.0,6.0,0,0.0,20.26,20.26,2,6,0,1,20
14.0,7.0,0,0.0,16.51,16.51,1,4,0,1,20
15.0,8.0,0,0.0,9.99,9.99,1,3,0,0,20
16.0,9.0,0,0.0,15.3,15.3,2,3,0,2,20
17.0,10.0,0,0.0,11.31,11.31,1,3,0,1,20
18.0,11.0,0,0.0,22.96,22.96,2,4,0,4,20
19.0,12.0,0,0.0,17.55,17.55,1,4,0,3,20
20.0,13.0,0,0.0,6.7,6.7,1,1,0,1,20
21.0,14.0,0,0.0,10.32,10.32,1,2,0,2,20
22.0,15.0,0,0.0,18.12,18.12,2,3,0,4,20
23.0,16.0,0,0.0,10.96,10.96,1,1,0,3,20
24.0,17.0,0,0.0,11.06,11.06,1,1,0,4,20
25.0,18.0,0,0.0,15.97,15.97,1,3,0,3,20
