idx,seq,group,emerg,weight,new_value,relocation,loc_x,loc_y,loc_z,size(ft)
1.0,0.0,0,0.0,19.48,19.48,2,3,0,4,20
2.0,0.0,0,0.0,18.22,18.22,2,3,0,3,20
3.0,0.0,0,0.0,11.99,11.99,0,5,0,0,20
4.0,0.0,0,0.0,18.33,18.33,2,5,0,1,20
5.0,0.0,0,0.0,16.51,16.51,1,6,0,1,20
6.0,0.0,0,0.0,12.18,12.18,2,2,0,1,20
7.0,0.0,0,0.0,17.71,17.71,1,6,0,0,20
8.0,1.0,0,0.0,16.13,16.13,2,3,0,2,20
9.0,2.0,0,0.0,10.84,10.84,1,3,0,0,20
10.0,3.0,0,0.0,12.19,12.19,1,3,0,1,20
11.0,4.0,0,0.0,22.06,22.06,1,5,0,2,20
12.0,5.0,0,0.0,14.65,14.65,1,6,0,2,20
13.0,6.0,0,0.0,9.92,9.92,1,2,0,0,20
14.0,7.0,0,0.0,15.9,15.9,2,2,0,3,20
15.0,8.0,0,0.0,21.5,21.5,1,5,0,3,20
16.0,9.0,0,0.0,6.45,6.45,1,1,0,0,20
17.0,10.0,0,0.0,17.19,17.19,2,4,0,2,20
18.0,11.0,0,0.0,20.35,20.35,2,4,0,3,20
19.0,12.0,0,0.0,9.77,9.77,2,1,0,2,20
20.0,13.0,0,0.0,11.2,11.2,1,2,0,2,20
21.0,14.0,0,0.0,14.09,14.09,1,4,0,0,20
22.0,15.0,0,0.0,12.75,12.75,1,4,0,1,20
23.0,16.0,0,0.0,23.24,23.24,1,4,0,4,20
24.0,17.0,0,0.0,8.24,8.24,1,1,0,1,20
25.0,18.0,0,0.0,20.26,20.26,1,5,0,4,20
