idx,seq,group,emerg,weight,new_value,relocation,loc_x,loc_y,loc_z,size(ft)
1.0,0.0,0,0.0,10.92,10.92,0,4,0,0,20
2.0,0.0,0,0.0,19.11,19.11,2,4,0,2,20
3.0,0.0,0,0.0,18.41,18.41,2,3,0,3,20
4.0,0.0,0,0.0,19.85,19.85,1,6,0,1,20
5.0,0.0,0,0.0,10.2,10.2,2,3,0,1,20
6.0,0.0,0,0.0,9.8,9.8,2,1,0,3,20
7.0,0.0,0,0.0,23.06,23.06,1,6,0,0,20
8.0,1.0,0,0.0,21.86,21.86,1,5,0,1,20
9.0,2.0,0,0.0,13.21,13.21,1,2,0,3,20
10.0,3.0,0,0.0,5.55,5.55,0,2,0,0,20
11.0,4.0,0,0.0,14.79,14.79,0,5,0,0,20
12.0,5.0,0,0.0,22.04,22.04,0,5,0,2,20
13.0,6.0,0,0.0,6.24,6.24,0,2,0,1,20
14.0,7.0,0,0.0,23.55,23.55,1,4,0,4,20
15.0,8.0,0,0.0,18.95,18.95,1,2,0,4,20
16.0,9.0,0,0.0,10.45,10.45,0,2,0,2,20
17.0,10.0,0,0.0,14.35,14.35,0,4,0,1,20
18.0,11.0,0,0.0,9.07,9.07,0,3,0,0,20
19.0,12.0,0,0.0,22.02,22.02,0,4,0,3,20
20.0,13.0,0,0.0,9.22,9.22,1,1,0,2,20
21.0,14.0,0,0.0,22.63,22.63,1,3,0,4,20
22.0,15.0,0,0.0,11.7,11.7,0,3,0,2,20
23.0,16.0,0,0.0,9.65,9.65,0,1,0,4,20
24.0,17.0,0,0.0,9.46,9.46,0,5,0,3,20
25.0,18.0,0,0.0,6.53,6.53,0,1,0,0,20
