idx,seq,group,emerg,weight,new_value,relocation,loc_x,loc_y,loc_z,size(ft)
1.0,0.0,0,0.0,15.61,15.61,2,4,0,2,20
2.0,0.0,0,0.0,18.31,18.31,0,6,0,0,20
3.0,0.0,0,0.0,14.39,14.39,1,6,0,1,20
4.0,0.0,0,0.0,7.2,7.2,0,3,0,0,20
5.0,0.0,0,0.0,12.29,12.29,1,1,0,0,20
6.0,1.0,0,0.0,8.91,8.91,1,4,0,0,20
7.0,2.0,0,0.0,23.12,23.12,2,5,0,2,20
8.0,3.0,0,0.0,8.31,8.31,1,2,0,0,20
9.0,4.0,0,0.0,13.53,13.53,1,5,0,0,20
10.0,5.0,0,0.0,6.36,6.36,1,2,0,1,20
11.0,6.0,0,0.0,13.55,13.55,1,4,0,1,20
12.0,7.0,0,0.0,8.35,8.35,1,1,0,1,20
13.0,8.0,0,0.0,9.2,9.2,1,3,0,1,20
14.0,9.0,0,0.0,19.85,19.85,2,3,0,4,20
15.0,10.0,0,0.0,12.63,12.63,1,3,0,2,20
16.0,11.0,0,0.0,23.83,23.83,1,3,0,3,20
17.0,12.0,0,0.0,8.68,8.68,1,2,0,2,20
18.0,13.0,0,0.0,11.75,11.75,1,2,0,3,20
19.0,14.0,0,0.0,8.3,8.3,1,1,0,2,20
20.0,15.0,0,0.0,15.85,15.85,1,5,0,1,20
21.0,16.0,0,0.0,9.3,9.3,1,1,0,3,20
22.0,17.0,0,0.0,21.96,21.96,1,4,0,3,20
23.0,18.0,0,0.0,20.86,20.86,1,4,0,4,20
24.0,19.0,0,0.0,12.7,12.7,1,2,0,4,20
25.0,20.0,0,0.0,8.08,8.08,1,1,0,4,20
